                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5961,                 1.2503,                 1.3513,                0.79657,                0.66475,                0.73977,                0.43255,                 1.4193,                 1.2168,                 1.3653,              0.0019347,              0.0019347,              0.0019347
                     35,                 1.5637,                 1.1888,                 1.2875,                0.79256,                0.64748,                0.73969,                0.42687,                 1.4587,                 1.1954,                 1.3616,              0.0019327,              0.0019327,              0.0019327
                     36,                  1.546,                 1.1881,                 1.3065,                0.81334,                0.66962,                0.75792,                0.45387,                 1.4116,                 1.1687,                 1.3496,              0.0019307,              0.0019307,              0.0019307
                     37,                 1.5578,                 1.2269,                 1.3243,                0.77936,                0.65899,                0.73062,                0.41932,                  1.458,                 1.2714,                 1.3696,              0.0019287,              0.0019287,              0.0019287
                     38,                 1.5419,                 1.2019,                 1.3241,                 0.7852,                0.62533,                0.72372,                0.43105,                 1.4252,                 1.2172,                 1.3586,              0.0019267,              0.0019267,              0.0019267
                     39,                 1.4929,                 1.1744,                 1.2902,                0.80166,                0.61397,                0.70924,                0.40997,                 1.4372,                 1.2424,                 1.3759,              0.0019248,              0.0019248,              0.0019248
                     40,                 1.5694,                 1.2066,                 1.3103,                0.75648,                0.65622,                0.72929,                0.42898,                 1.3945,                 1.2562,                 1.3398,              0.0019228,              0.0019228,              0.0019228
                     41,                 1.4925,                 1.1804,                 1.2996,                0.81154,                0.67702,                 0.7683,                0.44708,                 1.4392,                 1.1726,                 1.3453,              0.0019208,              0.0019208,              0.0019208
                     42,                 1.5116,                 1.1621,                 1.3023,                0.82814,                0.67139,                0.76534,                0.46413,                 1.3519,                 1.1153,                 1.3204,              0.0019188,              0.0019188,              0.0019188
                     43,                 1.4641,                 1.1399,                 1.2749,                0.81823,                0.65058,                0.74514,                0.43634,                 1.4361,                  1.194,                 1.3581,              0.0019168,              0.0019168,              0.0019168
                     44,                 1.5038,                 1.1598,                 1.2954,                0.80449,                0.65766,                 0.7549,                0.45153,                 1.3951,                 1.1272,                 1.3369,              0.0019149,              0.0019149,              0.0019149
                     45,                 1.4936,                 1.1457,                 1.2864,                0.81794,                0.67848,                0.78194,                0.47242,                 1.3639,                 1.1102,                 1.3084,              0.0019129,              0.0019129,              0.0019129
                     46,                 1.4899,                 1.1622,                 1.3151,                0.79822,                0.68291,                0.77627,                0.47571,                 1.3626,                 1.1025,                 1.2982,              0.0019109,              0.0019109,              0.0019109
                     47,                 1.4554,                 1.1401,                 1.2599,                0.79619,                0.70241,                0.77926,                0.46136,                 1.3877,                  1.147,                 1.3162,              0.0019089,              0.0019089,              0.0019089
                     48,                 1.4703,                  1.146,                  1.303,                0.80728,                0.71051,                0.78187,                0.46148,                 1.3627,                 1.1378,                 1.3197,              0.0019069,              0.0019069,              0.0019069
                     49,                  1.414,                 1.1329,                  1.257,                0.84157,                0.69397,                0.79544,                0.47985,                  1.369,                 1.0878,                 1.3079,               0.001905,               0.001905,               0.001905
                     50,                   1.45,                 1.0937,                 1.2489,                0.80828,                0.70392,                0.77143,                0.44757,                 1.4007,                 1.1027,                 1.3534,               0.001903,               0.001903,               0.001903
                     51,                 1.4244,                 1.1348,                 1.2734,                0.85499,                0.67715,                0.79314,                0.49419,                 1.3211,                 1.0526,                 1.2762,               0.001901,               0.001901,               0.001901
                     52,                 1.4455,                 1.1216,                 1.2509,                0.84606,                0.68394,                0.79029,                0.48404,                 1.3295,                 1.0607,                 1.2832,               0.001899,               0.001899,               0.001899
                     53,                 1.4389,                 1.1052,                 1.2545,                0.79435,                0.70593,                0.79482,                0.49042,                 1.3375,                 1.0552,                 1.2779,               0.001897,               0.001897,               0.001897
                     54,                 1.4062,                 1.1019,                  1.245,                0.80997,                0.70975,                0.80164,                0.50571,                 1.3059,                 1.0377,                  1.269,              0.0018951,              0.0018951,              0.0018951
                     55,                 1.3973,                 1.0674,                  1.247,                0.83118,                 0.7021,                 0.7898,                0.48973,                 1.3082,                 1.1023,                 1.2731,              0.0018931,              0.0018931,              0.0018931
