                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5963,                 4.5628,                 4.1168,                      0,                      0,                      0,                      0,                 5.2054,                 4.1572,                 4.1344,                0.00042,                0.00042,                0.00042
                      2,                 4.4039,                 3.6037,                 3.7268,                      0,                      0,                      0,                      0,                 5.0644,                 4.0316,                  4.029,             0.00085574,             0.00085574,             0.00085574
                      3,                 3.2885,                 2.8233,                 2.9884,                      0,                      0,                      0,                      0,                 5.0322,                 3.8522,                 3.9928,              0.0012871,              0.0012871,              0.0012871
                      4,                 2.8023,                 2.3512,                 2.4931,                      0,                      0,                      0,                      0,                 4.5329,                 3.9541,                  3.694,              0.0017142,              0.0017142,              0.0017142
                      5,                  2.595,                 2.0945,                 2.2454,                0.34883,                  0.165,                0.13509,                 0.0407,                 3.1682,                 2.5713,                 2.8133,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.3839,                 1.8924,                 2.0219,                0.36839,                0.46333,                0.34232,                0.12904,                 2.5043,                 3.2514,                 2.3611,              0.0019505,              0.0019505,              0.0019505
                      7,                 2.2804,                  1.754,                 1.8829,                0.44494,                0.33167,                0.32071,                0.11875,                 2.4676,                 2.0051,                 2.3143,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.1421,                 1.6947,                 1.7832,                0.49752,                0.41333,                0.40492,                0.16225,                 2.1667,                  2.199,                 2.1482,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.0479,                 1.6494,                 1.7351,                0.37891,                0.34667,                0.27942,                0.11165,                 2.2552,                 1.9669,                 2.1665,              0.0019208,              0.0019208,              0.0019208
                     10,                 2.0107,                 1.5972,                 1.6856,                0.53648,                   0.38,                 0.4271,                0.19098,                 1.9808,                 1.7935,                 1.9712,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.9677,                 1.5621,                 1.6167,                0.54492,                0.47097,                0.47118,                0.21936,                 1.8876,                 1.7897,                 1.8564,               0.001901,               0.001901,               0.001901
                     12,                  1.916,                 1.5417,                 1.5979,                0.64291,                  0.495,                0.53785,                0.25895,                  1.848,                 1.5617,                 1.8258,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.8705,                  1.492,                 1.5642,                0.61996,                0.50667,                0.52719,                0.25343,                 2.0134,                 1.9548,                 1.9379,              0.0018812,              0.0018812,              0.0018812
                     14,                  1.816,                 1.4295,                 1.5012,                0.67903,                0.51833,                0.59077,                0.29709,                 1.7343,                 1.4576,                 1.7418,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.8102,                 1.4519,                 1.5013,                0.67108,                0.52366,                0.58426,                0.29887,                 1.7117,                 1.4872,                 1.7021,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.7918,                 1.4267,                  1.521,                0.67029,                   0.57,                0.62521,                0.32607,                 1.6164,                 1.5312,                 1.6422,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.7714,                 1.3982,                 1.4588,                0.65668,                0.52833,                0.58128,                0.30892,                 1.6396,                 1.4425,                 1.6573,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.7004,                 1.3433,                 1.4281,                 0.7106,                0.56333,                0.63999,                0.32994,                 1.6931,                 1.3937,                 1.6603,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.6873,                  1.325,                 1.4151,                0.73309,                0.54667,                0.62601,                0.33909,                 1.6007,                 1.4088,                 1.6128,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.6922,                 1.3382,                  1.412,                0.75475,                 0.5488,                0.62366,                0.33928,                 1.5939,                 1.3528,                 1.5701,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.6444,                 1.3094,                 1.3964,                0.70417,                0.53557,                 0.6042,                0.33895,                 1.5941,                 1.3868,                 1.5826,               0.001802,               0.001802,               0.001802
                     22,                 1.6464,                 1.3116,                 1.4104,                0.70299,                   0.58,                0.64872,                0.35568,                 1.5296,                 1.3477,                 1.5522,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.6419,                  1.295,                 1.4065,                0.70187,                0.54149,                 0.6049,                0.31364,                  1.617,                 1.3641,                    1.6,              0.0017822,              0.0017822,              0.0017822
                     24,                  1.596,                 1.2643,                 1.3625,                0.74539,                0.55624,                0.62633,                 0.3391,                 1.5522,                 1.3054,                 1.5554,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.6489,                 1.2703,                 1.3771,                 0.7331,                0.58667,                0.64159,                0.35495,                 1.5411,                 1.2866,                 1.5705,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.5894,                 1.2711,                 1.3724,                0.75278,                   0.56,                0.64602,                0.35724,                 1.5295,                 1.4263,                  1.552,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.6235,                 1.2757,                 1.3707,                0.76908,                0.57333,                0.64804,                0.36189,                 1.4963,                 1.3311,                 1.5374,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.5854,                 1.2584,                 1.3544,                 0.8073,                0.56667,                0.66767,                0.36516,                 1.5124,                  1.304,                 1.5104,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.5905,                 1.2542,                 1.3286,                0.77747,                0.56167,                0.63484,                 0.3428,                 1.5678,                 1.2915,                 1.5332,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.5718,                 1.2414,                 1.3444,                0.76576,                0.60167,                0.67597,                0.38557,                 1.5104,                 1.2722,                 1.5388,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.5416,                 1.2014,                 1.3107,                0.75117,                   0.61,                0.65287,                 0.3756,                 1.5217,                 1.2728,                 1.4986,               0.001703,               0.001703,               0.001703
                     32,                 1.5376,                 1.2425,                 1.3423,                0.74156,                   0.57,                0.65208,                0.36992,                 1.4778,                  1.237,                 1.4981,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.5907,                 1.2371,                 1.3356,                0.78109,                0.61848,                0.69471,                0.40899,                 1.4744,                 1.2332,                 1.4823,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.5869,                 1.2558,                 1.3418,                0.76442,                  0.535,                0.62959,                0.35873,                 1.5734,                 1.3174,                 1.5362,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.5101,                 1.1793,                 1.2693,                0.72611,                0.63333,                0.68048,                0.38993,                 1.4735,                 1.2971,                 1.4897,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.5239,                 1.1627,                 1.2935,                0.76329,                0.61333,                0.68377,                0.39659,                  1.456,                 1.2029,                 1.4787,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.5325,                 1.2213,                  1.314,                0.75465,                0.59333,                0.66823,                0.38539,                 1.4496,                 1.3333,                 1.4945,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.5257,                 1.1848,                 1.3113,                0.71592,                0.58383,                 0.6517,                 0.3782,                  1.495,                 1.3033,                 1.4978,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.4597,                 1.1473,                 1.2794,                 0.7626,                0.62641,                0.68008,                0.38848,                 1.4147,                 1.1994,                 1.4583,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.4883,                 1.1712,                 1.2777,                0.75651,                0.62333,                0.69173,                0.39803,                 1.4241,                  1.232,                 1.4682,              0.0016139,              0.0016139,              0.0016139
                     41,                  1.451,                 1.1382,                 1.2754,                0.79374,                   0.62,                0.71296,                0.41587,                 1.4571,                 1.1629,                 1.4443,               0.001604,               0.001604,               0.001604
                     42,                 1.4705,                 1.1359,                 1.2767,                0.80336,                0.61283,                0.69431,                0.41562,                 1.4973,                 1.2126,                 1.4998,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.4245,                 1.1213,                 1.2574,                0.73844,                0.65833,                0.70796,                0.41108,                 1.4237,                 1.1579,                 1.4424,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.4838,                 1.1495,                 1.2804,                0.71176,                0.63333,                 0.6864,                0.40052,                 1.4755,                 1.2293,                 1.4944,              0.0015743,              0.0015743,              0.0015743
                     45,                  1.488,                 1.1457,                 1.2821,                0.80301,                0.57833,                0.69902,                 0.4257,                 1.3896,                 1.1904,                 1.4364,              0.0015644,              0.0015644,              0.0015644
                     46,                  1.463,                 1.1565,                  1.299,                0.74754,                0.62333,                0.65704,                 0.3815,                 1.4506,                 1.2124,                 1.4643,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.4546,                 1.1256,                 1.2523,                0.74592,                0.66833,                0.73162,                0.44052,                 1.4902,                 1.1398,                 1.4628,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.4359,                 1.1339,                 1.2877,                0.77928,                0.64139,                0.72494,                  0.428,                 1.4052,                 1.1618,                 1.4219,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.4155,                  1.109,                 1.2485,                0.78908,                 0.6173,                0.71316,                 0.4134,                 1.5053,                 1.1505,                 1.4716,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.4453,                 1.0878,                 1.2447,                0.78159,                0.63167,                0.70251,                0.40905,                 1.4067,                 1.1215,                 1.4504,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.4104,                 1.1016,                 1.2579,                0.79718,                0.63667,                0.72807,                0.44649,                 1.3526,                  1.097,                 1.3952,               0.001505,               0.001505,               0.001505
                     52,                  1.433,                 1.1155,                 1.2412,                 0.7533,                0.63614,                0.70655,                0.42598,                 1.3937,                 1.1269,                 1.4354,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.4274,                  1.082,                 1.2452,                0.81168,                   0.61,                0.72352,                0.43944,                 1.3653,                  1.114,                  1.408,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.4054,                 1.0855,                 1.2379,                0.77877,                0.63667,                0.72454,                0.43339,                 1.3307,                 1.0952,                 1.3911,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.3857,                 1.0575,                 1.2365,                0.81371,                0.66333,                0.71657,                0.41832,                 1.4181,                 1.1249,                 1.4393,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.3794,                 1.0369,                 1.2262,                0.78318,                0.66224,                0.73296,                0.45231,                 1.3513,                 1.0899,                 1.4057,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.3849,                 1.0649,                 1.2322,                0.79249,                0.63652,                 0.7273,                0.43571,                 1.4098,                 1.1404,                 1.4168,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.3684,                 1.0475,                 1.2242,                0.75721,                0.68092,                0.72495,                 0.4409,                 1.3431,                 1.1008,                  1.401,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.3745,                 1.0525,                 1.2346,                0.80407,                0.64333,                0.73631,                0.44911,                 1.3252,                 1.0661,                 1.3921,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.3748,                 1.0494,                 1.2218,                0.76437,                0.64337,                0.73115,                0.45346,                 1.3699,                 1.0955,                 1.4121,              0.0014159,              0.0014159,              0.0014159
                     61,                  1.356,                 1.0426,                 1.2141,                  0.791,                0.63077,                0.73256,                0.45663,                 1.3494,                 1.1354,                 1.3859,               0.001406,               0.001406,               0.001406
                     62,                 1.3647,                  1.051,                 1.2153,                0.83868,                0.61833,                0.71467,                0.43873,                  1.377,                 1.0908,                 1.4001,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.4306,                 1.0566,                 1.2338,                0.79248,                0.65667,                0.72623,                0.42979,                 1.3095,                 1.0874,                 1.3673,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.3577,                 1.0273,                 1.2358,                0.78914,                0.67364,                0.73906,                 0.4462,                 1.3355,                 1.0912,                  1.358,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.3757,                 1.0265,                 1.2299,                0.74421,                0.67887,                0.72331,                0.43475,                 1.3869,                 1.0665,                 1.4078,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.3378,                 1.0126,                 1.2101,                0.79723,                0.62667,                0.73362,                0.45693,                 1.3116,                 1.0688,                 1.3557,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.3121,                0.98571,                  1.199,                0.79998,                0.67667,                0.75633,                0.46388,                 1.3131,                 1.0368,                 1.3595,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.3179,                0.98998,                 1.1792,                0.80924,                0.68333,                0.74692,                0.45835,                 1.3152,                 1.0326,                 1.3683,              0.0013367,              0.0013367,              0.0013367
