                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3495,                 3.1753,                 1.6367,                0.01412,                  0.685,                 0.2201,                0.11396,                 1.5937,                 3.0461,                 1.3318,                0.00042,                0.00042,                0.00042
                      2,                 1.6201,                 1.7879,                 1.2028,                0.21698,                0.25167,                0.13054,                0.05414,                 1.5422,                 2.6568,                 1.2232,             0.00085716,             0.00085716,             0.00085716
                      3,                 1.5772,                 1.5836,                 1.1752,                0.67244,                0.52833,                0.59438,                0.31073,                 1.4743,                 2.0601,                 1.1963,              0.0012914,              0.0012914,              0.0012914
                      4,                 1.4542,                 1.4504,                 1.1276,                0.66978,                0.53333,                0.59366,                0.30084,                 1.5791,                 1.6679,                 1.3044,              0.0017228,              0.0017228,              0.0017228
                      5,                 1.5057,                 1.4017,                 1.1509,                0.56089,                 0.5897,                0.58789,                0.30797,                 1.5026,                 1.7197,                 1.3041,              0.0019736,              0.0019736,              0.0019736
                      6,                  1.479,                 1.3509,                 1.1456,                0.72099,                0.59434,                0.65601,                0.34707,                 1.5028,                 1.4659,                 1.2166,               0.001967,               0.001967,               0.001967
                      7,                 1.4422,                 1.3106,                 1.1401,                0.54124,                0.59972,                0.57782,                0.30922,                 1.4521,                 2.6394,                 1.2194,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.3836,                 1.2406,                   1.11,                0.64013,                0.62833,                0.64058,                0.36764,                 1.3408,                  1.458,                 1.1599,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.3538,                 1.2298,                 1.0938,                0.76367,                   0.63,                0.72085,                0.41386,                 1.3848,                 1.2601,                 1.1669,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.3346,                 1.1761,                 1.0781,                0.66606,                 0.6017,                0.63205,                0.35946,                 1.3829,                 1.3964,                 1.1674,              0.0019406,              0.0019406,              0.0019406
                     11,                  1.339,                 1.1643,                 1.0828,                0.73228,                0.64278,                0.68147,                0.37791,                 1.5148,                 1.3568,                 1.2851,               0.001934,               0.001934,               0.001934
                     12,                 1.3438,                 1.1511,                 1.0859,                0.79961,                   0.62,                0.72476,                 0.4222,                 1.2313,                 1.1838,                 1.1041,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.2998,                 1.1229,                  1.067,                0.80786,                0.66667,                0.75815,                0.44649,                 1.2561,                 1.1095,                 1.1178,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.3123,                 1.0842,                 1.0541,                0.71225,                0.67244,                0.71061,                0.43385,                 1.3222,                  1.198,                 1.1365,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.2854,                 1.0586,                 1.0459,                0.73965,                0.69667,                0.73806,                0.43679,                 1.2905,                 1.2305,                 1.1264,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.2871,                 1.0702,                 1.0619,                0.75615,                0.72354,                0.78798,                0.49922,                 1.1513,                 1.0624,                 1.0712,               0.001901,               0.001901,               0.001901
                     17,                 1.2615,                 1.0514,                 1.0485,                0.76035,                0.74032,                0.78301,                0.50302,                  1.162,                 1.0306,                  1.072,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.2539,                 1.0106,                 1.0418,                0.80041,                0.70833,                0.78056,                0.46823,                 1.3907,                 1.0499,                 1.1365,              0.0018878,              0.0018878,              0.0018878
                     19,                 1.2397,                0.98207,                 1.0299,                0.82461,                0.65823,                0.78099,                 0.4814,                 1.2969,                 1.0005,                 1.1485,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.2354,                0.98785,                 1.0316,                0.76128,                0.69094,                0.76729,                0.45603,                 1.4103,                 1.2097,                 1.2257,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.2006,                 0.9421,                  1.023,                0.78469,                0.70462,                0.77038,                0.48442,                 1.2417,                 1.0763,                 1.1133,               0.001868,               0.001868,               0.001868
                     22,                 1.1827,                0.91946,                 1.0156,                0.76499,                0.62167,                0.69972,                0.40702,                 1.4411,                 1.2035,                 1.2125,              0.0018614,              0.0018614,              0.0018614
                     23,                 1.2034,                0.93974,                 1.0336,                0.74018,                0.61167,                0.69872,                0.43381,                  1.225,                 1.1269,                 1.1082,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.1789,                0.91881,                 1.0101,                0.79142,                0.68299,                0.77604,                0.49254,                 1.2641,                0.99413,                 1.0826,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.1772,                0.91422,                 1.0055,                0.80787,                0.72881,                0.79351,                0.49558,                 1.3206,                 1.0453,                 1.1233,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.1397,                0.86677,                0.99965,                 0.7963,                  0.745,                0.80801,                 0.5006,                 1.2288,                0.99889,                 1.0745,               0.001835,               0.001835,               0.001835
                     27,                 1.1754,                0.88899,                 1.0067,                 0.7763,                  0.705,                0.76981,                0.47979,                 1.3018,                 1.1336,                 1.1481,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.1304,                0.87951,                0.99766,                0.79662,                0.74167,                  0.821,                0.51978,                 1.1225,                0.92114,                 1.0507,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.1771,                0.88103,                 1.0077,                0.73582,                0.77833,                0.81235,                0.51704,                 1.2021,                 1.0039,                 1.0784,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.1445,                0.86112,                 1.0036,                0.82578,                0.67833,                0.77193,                0.50523,                 1.1777,                0.97655,                 1.0678,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.1269,                0.82765,                0.98496,                0.82334,                0.75345,                0.83424,                0.52889,                 1.1421,                0.93746,                 1.0741,               0.001802,               0.001802,               0.001802
                     32,                 1.0985,                0.82752,                0.98851,                0.78998,                   0.78,                0.82386,                0.52885,                  1.224,                0.87974,                  1.136,              0.0017954,              0.0017954,              0.0017954
