                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.035,                 4.9318,                 4.2367,                      0,                      0,                      0,                      0,                 5.2327,                 4.9711,                 4.1949,              0.0032593,              0.0032593,              0.0032593
                      2,                 3.3037,                 4.3607,                 3.4705,                      0,                      0,                      0,                      0,                 5.3591,                 5.0624,                 4.3741,              0.0065882,              0.0065882,              0.0065882
                      3,                 2.8499,                 3.6134,                 2.9083,                0.01098,                0.24685,                0.01611,                0.00509,                 3.9965,                 3.6911,                 3.3481,              0.0099128,              0.0099128,              0.0099128
                      4,                 2.5652,                 3.0685,                 2.5787,                0.20483,                0.09144,                0.02911,                0.00902,                 2.9674,                 4.2336,                  2.693,              0.0099802,              0.0099802,              0.0099802
                      5,                 2.2039,                 2.6921,                  2.268,                  0.346,                0.16343,                0.10381,                 0.0495,                 1.6465,                 2.9556,                 1.9533,              0.0099736,              0.0099736,              0.0099736
                      6,                 1.9418,                 2.4178,                 2.0366,                0.20431,                0.39494,                0.28183,                0.18451,                 1.1988,                 2.2306,                 1.4502,               0.009967,               0.009967,               0.009967
                      7,                  1.815,                 2.1634,                 1.9416,                0.35094,                0.60292,                0.48792,                0.33289,                 1.1143,                  1.854,                 1.3432,              0.0099604,              0.0099604,              0.0099604
                      8,                  1.718,                 1.9646,                 1.8465,                 0.2391,                0.44422,                0.33069,                0.21021,                 1.1061,                 2.3345,                 1.3504,              0.0099538,              0.0099538,              0.0099538
                      9,                 1.6549,                 1.8036,                 1.7748,                0.45363,                0.69101,                 0.6342,                0.36905,                 1.3333,                 1.5949,                 1.4215,              0.0099472,              0.0099472,              0.0099472
                     10,                 1.5811,                 1.6741,                 1.7098,                0.59846,                0.69536,                 0.7206,                0.47323,                 1.1533,                  1.468,                  1.348,              0.0099406,              0.0099406,              0.0099406
                     11,                  1.525,                 1.5977,                 1.6679,                0.57461,                0.75844,                0.75408,                0.54997,                0.93795,                 1.2425,                 1.1876,               0.009934,               0.009934,               0.009934
                     12,                  1.489,                 1.5264,                 1.6335,                0.69083,                0.72709,                0.79225,                0.59019,                0.93568,                 1.2649,                 1.1964,              0.0099274,              0.0099274,              0.0099274
                     13,                 1.4348,                 1.4237,                 1.5879,                0.78654,                0.79956,                0.89697,                0.64877,                0.96645,                 1.0559,                 1.2094,              0.0099208,              0.0099208,              0.0099208
                     14,                 1.4221,                 1.3234,                 1.5639,                0.75374,                0.78586,                0.85302,                 0.5985,                 1.0281,                 1.1796,                 1.2324,              0.0099142,              0.0099142,              0.0099142
                     15,                 1.3941,                 1.3161,                 1.5496,                0.87674,                0.85482,                0.94777,                0.72892,                0.83553,                0.88928,                 1.1296,              0.0099076,              0.0099076,              0.0099076
                     16,                 1.3956,                 1.2514,                  1.572,                0.88119,                0.82322,                0.92502,                0.69143,                0.91442,                0.91201,                 1.1758,               0.009901,               0.009901,               0.009901
                     17,                 1.3575,                 1.1725,                 1.5179,                0.67839,                0.73852,                0.76918,                0.58535,                0.84591,                  1.298,                 1.1594,              0.0098944,              0.0098944,              0.0098944
                     18,                 1.3645,                 1.1533,                 1.5091,                0.92204,                0.92276,                0.96972,                0.75025,                 0.8221,                0.69477,                 1.1145,              0.0098878,              0.0098878,              0.0098878
                     19,                 1.3052,                 1.1161,                 1.4616,                 0.8279,                0.87157,                0.93969,                0.67825,                 1.0122,                0.90412,                 1.2211,              0.0098812,              0.0098812,              0.0098812
                     20,                 1.3169,                 1.1258,                 1.5228,                0.69066,                0.60538,                0.69815,                0.49529,                 1.0328,                 1.5454,                 1.2779,              0.0098746,              0.0098746,              0.0098746
                     21,                 1.3007,                 1.0948,                 1.4971,                0.95996,                0.94108,                0.97634,                 0.7571,                0.86955,                0.65016,                 1.1262,               0.009868,               0.009868,               0.009868
                     22,                 1.2911,                 1.0316,                 1.4662,                0.85826,                0.80178,                0.92112,                0.67693,                 1.0089,                0.98912,                 1.2328,              0.0098614,              0.0098614,              0.0098614
                     23,                 1.2922,                 1.0513,                  1.487,                0.91361,                0.92984,                0.96528,                0.70827,                0.95062,                 0.7222,                 1.1744,              0.0098548,              0.0098548,              0.0098548
                     24,                   1.24,                0.99194,                 1.4199,                 0.9623,                0.96434,                0.98121,                 0.7737,                0.82045,                0.59174,                 1.1128,              0.0098482,              0.0098482,              0.0098482
                     25,                 1.2746,                0.98423,                 1.4391,                0.90796,                0.92022,                 0.9758,                0.71404,                0.99843,                0.72808,                 1.1984,              0.0098416,              0.0098416,              0.0098416
                     26,                 1.2491,                0.97845,                  1.442,                0.96249,                0.97162,                0.98485,                0.79036,                0.78517,                0.56448,                 1.0684,               0.009835,               0.009835,               0.009835
                     27,                 1.2193,                0.94976,                 1.4181,                0.88221,                0.90121,                0.96052,                0.74072,                0.90506,                 0.7716,                 1.1279,              0.0098284,              0.0098284,              0.0098284
                     28,                 1.2111,                0.92298,                 1.3986,                0.92712,                0.88908,                0.97505,                0.76231,                0.86022,                 0.7155,                 1.1154,              0.0098218,              0.0098218,              0.0098218
                     29,                  1.226,                0.98479,                 1.4143,                0.97019,                0.96119,                0.98642,                0.79625,                0.77103,                0.55502,                 1.0729,              0.0098152,              0.0098152,              0.0098152
                     30,                 1.2506,                0.98666,                 1.4394,                0.92134,                0.93758,                0.97895,                0.77579,                0.81752,                0.66734,                 1.0903,              0.0098086,              0.0098086,              0.0098086
                     31,                 1.2023,                0.92186,                 1.3845,                0.96615,                0.96852,                0.98235,                 0.7979,                0.74775,                0.55427,                 1.0532,               0.009802,               0.009802,               0.009802
                     32,                 1.2037,                0.88725,                 1.3947,                0.95843,                0.97331,                0.98316,                0.80495,                0.72411,                0.53471,                 1.0386,              0.0097954,              0.0097954,              0.0097954
                     33,                 1.1852,                0.89296,                 1.3876,                0.94025,                0.94451,                0.97989,                0.77471,                0.81553,                0.59945,                 1.0924,              0.0097888,              0.0097888,              0.0097888
                     34,                 1.1692,                0.86163,                 1.3665,                0.98243,                0.96692,                0.98521,                0.79076,                0.80113,                0.53226,                 1.0737,              0.0097822,              0.0097822,              0.0097822
                     35,                 1.1905,                0.93317,                  1.413,                0.96894,                0.96804,                0.98339,                0.78329,                 0.7934,                0.54544,                 1.0685,              0.0097756,              0.0097756,              0.0097756
                     36,                 1.1649,                0.86641,                  1.378,                0.91608,                0.93976,                0.97251,                 0.7538,                0.85336,                0.61237,                 1.1018,               0.009769,               0.009769,               0.009769
                     37,                 1.1915,                0.84874,                 1.3666,                0.95473,                0.95645,                0.98298,                0.79446,                0.76851,                0.55505,                 1.0582,              0.0097624,              0.0097624,              0.0097624
                     38,                 1.1668,                0.87486,                 1.3668,                0.97587,                0.97589,                0.98664,                0.80747,                0.74072,                 0.4973,                 1.0475,              0.0097558,              0.0097558,              0.0097558
