                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5085,                 1.1336,                 1.0294,                0.81114,                0.62696,                 0.7233,                0.40949,                 1.5667,                 1.0945,                 1.0941,              0.0018317,              0.0018317,              0.0018317
                     36,                 1.4714,                 1.1559,                  1.022,                0.81601,                0.66736,                0.73595,                0.42341,                 1.4984,                 1.0991,                 1.0697,              0.0018267,              0.0018267,              0.0018267
                     37,                  1.532,                 1.1394,                 1.0367,                0.81195,                0.68339,                0.76106,                0.42039,                 1.5374,                 1.0125,                 1.0874,              0.0018218,              0.0018218,              0.0018218
                     38,                  1.517,                 1.0956,                 1.0279,                0.83777,                0.65831,                 0.7349,                0.39331,                 1.6914,                 1.1305,                 1.1111,              0.0018168,              0.0018168,              0.0018168
                     39,                 1.4974,                 1.1059,                 1.0304,                0.82766,                0.66241,                0.73193,                 0.4003,                 1.5375,                 1.1241,                 1.0801,              0.0018119,              0.0018119,              0.0018119
                     40,                 1.5433,                 1.1391,                 1.0453,                0.87917,                0.67398,                0.76409,                0.42394,                 1.5399,                  1.036,                 1.0755,              0.0018069,              0.0018069,              0.0018069
                     41,                 1.5135,                 1.0828,                 1.0221,                0.88566,                0.67988,                0.79235,                 0.4323,                 1.4961,                0.96384,                 1.0657,               0.001802,               0.001802,               0.001802
                     42,                 1.4957,                 1.0761,                 1.0303,                0.88427,                0.60188,                 0.7168,                0.39579,                 1.5461,                 1.0647,                 1.0875,              0.0017971,              0.0017971,              0.0017971
                     43,                 1.4714,                 1.0412,                 1.0342,                0.88048,                0.70219,                0.79602,                0.43734,                 1.5401,                0.94673,                 1.0599,              0.0017921,              0.0017921,              0.0017921
                     44,                 1.4575,                 1.0815,                  1.018,                 0.8629,                0.68025,                0.77835,                0.46636,                 1.4108,                0.95354,                  1.039,              0.0017872,              0.0017872,              0.0017872
                     45,                 1.5016,                 1.0474,                 1.0146,                0.89985,                0.67603,                 0.7895,                0.41871,                 1.5751,                0.97785,                 1.0819,              0.0017822,              0.0017822,              0.0017822
                     46,                 1.4897,                 1.0616,                 1.0256,                0.83098,                0.69357,                0.76423,                0.38459,                 1.5965,                 1.0648,                 1.0823,              0.0017772,              0.0017772,              0.0017772
                     47,                 1.4552,                 1.0208,                 1.0208,                0.89324,                0.68191,                 0.7876,                0.44412,                 1.4649,                0.99825,                 1.0481,              0.0017723,              0.0017723,              0.0017723
                     48,                 1.4149,                0.96766,                 1.0205,                0.90092,                0.70846,                 0.8013,                 0.4441,                 1.4305,                0.98145,                 1.0317,              0.0017674,              0.0017674,              0.0017674
                     49,                 1.4001,                 0.9674,                 0.9968,                0.90941,                0.69906,                0.79858,                0.44806,                 1.4398,                0.95456,                   1.04,              0.0017624,              0.0017624,              0.0017624
                     50,                 1.3856,                0.93508,                0.99123,                0.91329,                0.66039,                0.79429,                0.44977,                 1.4901,                0.94271,                 1.0623,              0.0017575,              0.0017575,              0.0017575
                     51,                 1.4404,                0.94811,                 1.0096,                0.84432,                0.71405,                0.79974,                0.44121,                 1.5362,                0.93973,                 1.0621,              0.0017525,              0.0017525,              0.0017525
                     52,                 1.4171,                 0.9403,                 1.0033,                0.85123,                0.71747,                0.80323,                0.43939,                 1.5349,                0.99326,                 1.0635,              0.0017476,              0.0017476,              0.0017476
                     53,                  1.399,                0.95446,                 1.0029,                0.89041,                0.72414,                  0.821,                0.46015,                  1.463,                0.93517,                 1.0416,              0.0017426,              0.0017426,              0.0017426
                     54,                 1.3559,                 0.8868,                0.98109,                0.90925,                0.71473,                0.82221,                  0.462,                 1.5099,                0.89075,                 1.0637,              0.0017376,              0.0017376,              0.0017376
                     55,                 1.4212,                0.95839,                0.97592,                0.92314,                0.70219,                0.81426,                 0.4675,                 1.4227,                  0.877,                  1.034,              0.0017327,              0.0017327,              0.0017327
                     56,                 1.4098,                0.92611,                0.97816,                0.89933,                0.74608,                0.83527,                0.48118,                 1.3923,                0.88796,                 1.0176,              0.0017278,              0.0017278,              0.0017278
                     57,                 1.3591,                0.89518,                0.96438,                 0.9245,                 0.7116,                0.82927,                0.47268,                 1.3594,                0.91734,                 1.0155,              0.0017228,              0.0017228,              0.0017228
                     58,                 1.4346,                0.93685,                0.99308,                 0.9105,                0.73352,                 0.8301,                0.48768,                 1.3872,                0.93873,                 1.0208,              0.0017179,              0.0017179,              0.0017179
                     59,                 1.4194,                0.93678,                0.98956,                0.87177,                  0.721,                0.81364,                0.44814,                  1.554,                0.94135,                 1.0633,              0.0017129,              0.0017129,              0.0017129
                     60,                 1.3638,                0.90414,                0.97453,                0.88794,                0.72414,                0.82656,                0.47149,                 1.3929,                0.83561,                 1.0365,               0.001708,               0.001708,               0.001708
                     61,                 1.3734,                0.91493,                0.99722,                 0.9279,                0.72622,                0.82817,                0.46781,                 1.4385,                0.92675,                 1.0269,               0.001703,               0.001703,               0.001703
                     62,                 1.4115,                0.90664,                 0.9812,                 0.8975,                0.75549,                0.82782,                0.45342,                  1.486,                0.93584,                 1.0561,               0.001698,               0.001698,               0.001698
                     63,                 1.3969,                0.87139,                0.99824,                0.86852,                0.77116,                 0.8329,                0.46875,                 1.4412,                0.86455,                 1.0389,              0.0016931,              0.0016931,              0.0016931
                     64,                 1.3696,                0.86899,                0.97093,                0.91588,                0.75862,                0.83394,                0.47703,                 1.4342,                0.93419,                 1.0287,              0.0016882,              0.0016882,              0.0016882
                     65,                 1.3879,                0.87479,                0.96954,                0.89484,                0.78683,                0.84275,                0.49987,                 1.3806,                 0.8697,                 1.0269,              0.0016832,              0.0016832,              0.0016832
                     66,                 1.3712,                 0.8593,                0.96888,                0.92583,                0.74608,                0.84908,                0.47824,                 1.4172,                0.88101,                 1.0244,              0.0016783,              0.0016783,              0.0016783
                     67,                 1.3348,                0.84226,                0.94761,                0.93148,                  0.721,                0.84912,                0.46793,                 1.4883,                0.93069,                 1.0354,              0.0016733,              0.0016733,              0.0016733
                     68,                 1.2801,                0.82685,                0.95332,                0.91754,                0.76737,                0.85204,                0.48706,                 1.4437,                0.86546,                 1.0339,              0.0016684,              0.0016684,              0.0016684
                     69,                 1.3009,                0.81396,                 0.9559,                0.92229,                0.74295,                 0.8348,                0.46236,                 1.4234,                0.93212,                 1.0272,              0.0016634,              0.0016634,              0.0016634
                     70,                 1.3178,                0.82386,                0.96333,                0.89484,                0.74689,                0.83982,                0.51028,                 1.3321,                0.91816,                 1.0169,              0.0016585,              0.0016585,              0.0016585
                     71,                 1.2788,                0.82871,                 0.9474,                0.91773,                0.76933,                0.84627,                0.49754,                 1.3439,                0.84242,                 1.0097,              0.0016535,              0.0016535,              0.0016535
                     72,                 1.2942,                0.82766,                0.96269,                0.87991,                0.78094,                0.84744,                0.48154,                 1.3991,                0.86526,                 1.0204,              0.0016485,              0.0016485,              0.0016485
                     73,                 1.2881,                0.77937,                  0.961,                0.90571,                0.75235,                0.83956,                0.47592,                 1.3651,                0.86285,                  1.009,              0.0016436,              0.0016436,              0.0016436
                     74,                 1.3183,                0.79591,                0.96618,                0.95936,                0.73998,                0.85538,                0.52644,                 1.2936,                0.83046,                0.99852,              0.0016386,              0.0016386,              0.0016386
                     75,                 1.2857,                0.80826,                0.95468,                0.92527,                0.77116,                0.85371,                0.51104,                  1.315,                0.90251,                 1.0048,              0.0016337,              0.0016337,              0.0016337
                     76,                 1.2718,                 0.7825,                0.95657,                0.87805,                0.76489,                0.83066,                0.50099,                 1.2915,                0.85927,                 0.9995,              0.0016287,              0.0016287,              0.0016287
                     77,                 1.3313,                0.82398,                0.95999,                 0.9099,                0.75976,                0.84676,                0.47573,                 1.4057,                 0.8216,                 1.0209,              0.0016238,              0.0016238,              0.0016238
                     78,                 1.2447,                 0.8128,                0.95154,                0.90398,                0.73786,                 0.8424,                0.49488,                 1.3626,                0.84883,                 1.0154,              0.0016189,              0.0016189,              0.0016189
                     79,                 1.2752,                0.78114,                0.96144,                0.91732,                0.76517,                0.85133,                0.51558,                 1.2982,                0.82095,                0.99187,              0.0016139,              0.0016139,              0.0016139
                     80,                 1.2583,                0.77089,                0.94054,                 0.9059,                0.78469,                0.85547,                0.51459,                 1.3256,                0.76583,                0.99683,              0.0016089,              0.0016089,              0.0016089
                     81,                 1.2789,                0.79461,                 0.9641,                 0.8988,                0.77953,                0.85497,                0.52077,                 1.3022,                0.83969,                0.99784,               0.001604,               0.001604,               0.001604
                     82,                  1.277,                0.76374,                0.95021,                0.87356,                 0.7931,                0.85578,                0.49206,                 1.3384,                0.82613,                 1.0048,              0.0015991,              0.0015991,              0.0015991
                     83,                 1.3222,                0.81549,                0.97317,                0.91074,                0.76761,                0.85933,                0.49381,                 1.3789,                0.84154,                 1.0295,              0.0015941,              0.0015941,              0.0015941
                     84,                 1.3108,                0.79681,                0.94873,                0.94007,                0.73753,                0.84209,                0.49935,                 1.3353,                0.85704,                 1.0067,              0.0015892,              0.0015892,              0.0015892
