                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2786,                 4.8839,                 4.2777,                      0,                      0,                      0,                      0,                 3.5015,                 4.9612,                  4.183,             0.00016296,             0.00016296,             0.00016296
                      2,                 2.9414,                 4.4561,                 3.8613,                      0,                      0,                      0,                      0,                 3.8693,                 5.0719,                 4.4374,             0.00032881,             0.00032881,             0.00032881
                      3,                 2.6707,                 3.8479,                 3.3655,                 0.0003,                0.00908,                0.00022,                  6e-05,                 3.6183,                 5.0174,                 4.2587,             0.00049384,             0.00049384,             0.00049384
                      4,                 2.5452,                 3.2994,                  2.986,                0.06598,                0.21068,                 0.0632,                0.02867,                 2.2096,                 3.4629,                 2.8721,             0.00049629,             0.00049629,             0.00049629
                      5,                 2.4274,                 2.9544,                 2.7088,                0.24676,                0.19758,                0.17706,                0.07166,                 2.2141,                 2.6906,                 2.7653,             0.00049505,             0.00049505,             0.00049505
                      6,                 2.2697,                 2.6431,                 2.5213,                0.25644,                0.30681,                0.24376,                0.13459,                 1.5939,                 2.4407,                 2.3472,             0.00049381,             0.00049381,             0.00049381
                      7,                 2.0719,                 2.4219,                 2.4137,                0.45371,                0.47495,                0.48792,                0.30201,                 1.3301,                 2.0964,                 2.0797,             0.00049257,             0.00049257,             0.00049257
                      8,                 1.9389,                 2.1941,                 2.2854,                0.45138,                0.65937,                0.59963,                0.40447,                 1.1657,                 1.7098,                 1.9063,             0.00049134,             0.00049134,             0.00049134
                      9,                 1.8433,                 2.0758,                 2.1789,                0.52931,                0.74518,                0.67079,                0.48297,                   1.05,                 1.5459,                 1.6925,              0.0004901,              0.0004901,              0.0004901
                     10,                 1.7438,                 1.9318,                 2.0829,                0.61239,                0.75015,                0.72105,                0.50057,                 1.0693,                 1.5587,                 1.7003,             0.00048886,             0.00048886,             0.00048886
                     11,                 1.6781,                 1.8458,                 2.0455,                0.59816,                0.75861,                0.74669,                 0.5258,                 1.0356,                 1.5283,                 1.6362,             0.00048762,             0.00048762,             0.00048762
                     12,                 1.6118,                 1.7622,                 1.9777,                 0.6423,                0.78117,                0.78008,                0.50969,                 1.1441,                 1.4649,                 1.6404,             0.00048639,             0.00048639,             0.00048639
                     13,                 1.5525,                 1.6765,                 1.9228,                0.79268,                0.80567,                0.86712,                0.61883,                 1.0386,                 1.1233,                 1.5627,             0.00048515,             0.00048515,             0.00048515
                     14,                 1.5235,                 1.5812,                 1.8932,                0.80588,                 0.8181,                0.89374,                0.58414,                 1.2388,                 1.1631,                 1.6867,             0.00048391,             0.00048391,             0.00048391
                     15,                 1.4926,                 1.5379,                   1.88,                0.81739,                0.85678,                0.90721,                0.61637,                 1.0798,                 1.1288,                 1.5421,             0.00048267,             0.00048267,             0.00048267
                     16,                 1.4779,                 1.4769,                  1.876,                0.90077,                0.90792,                0.96515,                  0.734,                 0.9366,                0.90286,                 1.4365,             0.00048144,             0.00048144,             0.00048144
                     17,                 1.4358,                 1.4208,                 1.8207,                  0.891,                0.85018,                0.95133,                0.72503,                0.88596,                  0.923,                 1.3989,              0.0004802,              0.0004802,              0.0004802
                     18,                 1.4339,                 1.3852,                 1.7968,                0.93974,                0.93442,                0.96987,                0.69595,                0.95117,                0.85734,                 1.4495,             0.00047896,             0.00047896,             0.00047896
                     19,                 1.3714,                 1.3303,                 1.7517,                0.86424,                0.86649,                 0.9434,                0.64556,                 1.0737,                0.97718,                 1.5056,             0.00047772,             0.00047772,             0.00047772
                     20,                 1.3732,                 1.3425,                 1.7924,                0.92942,                0.90732,                0.96692,                 0.7277,                0.89703,                0.83435,                 1.3747,             0.00047649,             0.00047649,             0.00047649
                     21,                 1.3426,                 1.3058,                  1.739,                0.95012,                 0.9434,                0.97355,                0.73655,                0.89779,                0.77245,                 1.3788,             0.00047525,             0.00047525,             0.00047525
                     22,                 1.3531,                 1.2942,                 1.7404,                 0.9183,                 0.9151,                0.96136,                0.75949,                0.82194,                0.74456,                 1.3314,             0.00047401,             0.00047401,             0.00047401
                     23,                 1.3323,                 1.2845,                 1.7308,                0.87259,                0.88362,                0.93667,                0.70461,                0.92193,                0.94499,                 1.4029,             0.00047277,             0.00047277,             0.00047277
                     24,                 1.3018,                 1.1911,                 1.6822,                0.91342,                0.94244,                0.97142,                0.75626,                0.84229,                0.74478,                 1.3248,             0.00047154,             0.00047154,             0.00047154
                     25,                 1.3048,                 1.1899,                 1.6866,                0.95302,                0.93674,                0.97607,                0.75939,                0.85178,                0.76638,                 1.3323,              0.0004703,              0.0004703,              0.0004703
                     26,                 1.2845,                 1.1947,                 1.6875,                0.94275,                0.92256,                0.97537,                0.75131,                0.90276,                0.72755,                 1.3754,             0.00046906,             0.00046906,             0.00046906
                     27,                 1.2419,                 1.1459,                 1.6492,                0.86043,                0.90431,                0.95442,                 0.7111,                0.94347,                0.86644,                 1.3958,             0.00046783,             0.00046783,             0.00046783
                     28,                  1.256,                 1.1418,                 1.6561,                0.95217,                0.96182,                0.98139,                0.78318,                0.80686,                0.66508,                 1.2915,             0.00046659,             0.00046659,             0.00046659
                     29,                 1.2523,                 1.1314,                 1.6491,                0.93889,                0.94949,                0.97376,                0.75353,                0.88282,                0.70484,                 1.3434,             0.00046535,             0.00046535,             0.00046535
                     30,                 1.2808,                 1.1505,                 1.6868,                0.94089,                0.94433,                0.97396,                  0.777,                 0.7905,                0.69556,                 1.2767,             0.00046411,             0.00046411,             0.00046411
                     31,                 1.2607,                 1.1146,                 1.6347,                0.95228,                0.95007,                0.97567,                0.75049,                0.88977,                0.66715,                 1.3658,             0.00046288,             0.00046288,             0.00046288
                     32,                 1.2479,                 1.0906,                 1.6341,                0.96458,                0.97176,                0.98312,                0.79935,                0.76066,                0.59752,                 1.2503,             0.00046164,             0.00046164,             0.00046164
                     33,                 1.2047,                 1.0516,                 1.6128,                0.92685,                0.94715,                0.97296,                 0.7862,                0.77391,                0.65328,                 1.2637,              0.0004604,              0.0004604,              0.0004604
                     34,                 1.1844,                 1.0224,                  1.588,                0.97667,                0.97419,                0.98227,                0.80299,                0.75153,                0.56857,                 1.2521,             0.00045916,             0.00045916,             0.00045916
                     35,                 1.2126,                 1.1125,                  1.622,                0.96936,                0.97387,                0.98164,                0.79468,                0.75785,                0.57579,                 1.2497,             0.00045793,             0.00045793,             0.00045793
                     36,                 1.1918,                 1.0264,                 1.5889,                0.98154,                0.97263,                0.98123,                0.78311,                0.78833,                0.56381,                 1.2622,             0.00045669,             0.00045669,             0.00045669
                     37,                 1.1825,                0.98917,                 1.5715,                 0.9659,                0.97406,                0.98165,                0.80868,                0.71071,                0.56344,                 1.2031,             0.00045545,             0.00045545,             0.00045545
                     38,                  1.203,                 1.0189,                 1.5935,                0.97762,                0.96851,                0.98021,                0.74427,                0.87417,                 0.5852,                  1.324,             0.00045421,             0.00045421,             0.00045421
