                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0793,                 4.1742,                 3.6712,                      0,                      0,                      0,                      0,                 4.6863,                 4.1669,                 3.6046,               0.067733,             0.00032593,             0.00032593
                      2,                 2.9479,                  3.802,                 3.2203,                      0,                      0,                      0,                      0,                  5.021,                 8.7439,                   4.05,               0.034733,             0.00065882,             0.00065882
                      3,                 2.6284,                 3.5684,                 3.0093,                  6e-05,                0.00268,                  3e-05,                      0,                 3.8677,                 6.4789,                  3.239,               0.001732,             0.00099128,             0.00099128
                      4,                 2.4314,                 3.5297,                  2.837,                  6e-05,                0.00268,                  3e-05,                      0,                 4.4454,                 4.7274,                 3.8643,             0.00099802,             0.00099802,             0.00099802
                      5,                 2.2562,                 3.4495,                 2.6952,                0.00247,                0.06445,                0.00157,                0.00036,                 3.3442,                 3.9053,                 2.9332,             0.00099736,             0.00099736,             0.00099736
                      6,                 2.2113,                 3.4012,                 2.6198,                0.00049,                0.03145,                0.00039,                  9e-05,                 3.5627,                 4.0648,                 3.0999,              0.0009967,              0.0009967,              0.0009967
                      7,                 2.0736,                 3.3263,                 2.5011,                 0.0013,                0.03036,                0.00074,                 0.0002,                  3.677,                 3.8996,                   3.13,             0.00099604,             0.00099604,             0.00099604
                      8,                 2.0096,                 3.3156,                 2.4356,                0.00132,                0.02843,                0.00075,                0.00024,                 3.8572,                 4.2919,                 3.2901,             0.00099538,             0.00099538,             0.00099538
                      9,                  1.993,                  3.297,                 2.4183,                0.00022,                0.00656,                0.00012,                  2e-05,                  3.729,                 3.9993,                 3.1972,             0.00099472,             0.00099472,             0.00099472
                     10,                 1.9431,                 3.3038,                 2.3718,                0.00038,                0.01026,                 0.0002,                  5e-05,                  3.535,                 3.9006,                  3.122,             0.00099406,             0.00099406,             0.00099406
                     11,                 1.9628,                 3.2791,                 2.3786,                0.00038,                0.01026,                 0.0002,                  5e-05,                 4.1073,                 3.9925,                 3.4012,              0.0009934,              0.0009934,              0.0009934
                     12,                 1.9174,                 3.2788,                 2.3428,                0.00237,                 0.1003,                0.00175,                0.00056,                 3.3641,                 3.9575,                 2.9994,             0.00099274,             0.00099274,             0.00099274
                     13,                 1.9685,                 3.3489,                 2.3154,                0.00171,                0.04093,                0.00104,                 0.0003,                 3.7384,                 4.0567,                 3.2768,             0.00099208,             0.00099208,             0.00099208
                     14,                 1.8988,                 3.2351,                 2.2887,                0.00171,                0.04796,                0.00105,                0.00029,                 3.8272,                 4.1107,                 3.2655,             0.00099142,             0.00099142,             0.00099142
                     15,                 1.8728,                 3.2594,                 2.2622,                  7e-05,                0.00252,                  4e-05,                      0,                 3.8743,                 3.8209,                 3.2174,             0.00099076,             0.00099076,             0.00099076
                     16,                 1.8389,                  3.262,                 2.2428,                0.00023,                0.01042,                0.00013,                  4e-05,                 3.1144,                 4.3349,                 2.6981,              0.0009901,              0.0009901,              0.0009901
                     17,                 1.8443,                  3.265,                  2.254,                  0.001,                0.02939,                0.00057,                0.00013,                 3.4951,                 4.1401,                 3.0824,             0.00098944,             0.00098944,             0.00098944
                     18,                 1.8196,                 3.2539,                 2.2324,                0.00016,                0.00236,                  8e-05,                  3e-05,                 3.9755,                 4.5454,                 3.3761,             0.00098878,             0.00098878,             0.00098878
                     19,                 1.8537,                 3.2582,                 2.2251,                0.00024,                0.00872,                0.00013,                  3e-05,                 3.7139,                 4.0517,                 3.1182,             0.00098812,             0.00098812,             0.00098812
                     20,                 1.7836,                 3.2256,                 2.1904,                0.00112,                0.01322,                0.00062,                 0.0002,                 3.9236,                 4.4206,                 3.3637,             0.00098746,             0.00098746,             0.00098746
                     21,                 1.7663,                 3.2296,                 2.1692,                0.00033,                0.00581,                0.00017,                  4e-05,                 3.7122,                 4.3234,                  3.205,              0.0009868,              0.0009868,              0.0009868
                     22,                 1.7862,                 3.2236,                 2.1837,                0.00279,                0.05473,                0.00176,                0.00054,                 3.6223,                 4.2808,                 3.1477,             0.00098614,             0.00098614,             0.00098614
                     23,                 1.7792,                 3.2218,                 2.1724,                0.00112,                0.03732,                0.00065,                0.00016,                 3.5739,                 3.9636,                 3.0788,             0.00098548,             0.00098548,             0.00098548
                     24,                 1.7844,                  3.261,                 2.1697,                0.00026,                0.00611,                0.00014,                  4e-05,                 3.7003,                  4.221,                 3.1831,             0.00098482,             0.00098482,             0.00098482
                     25,                 1.7882,                 3.2513,                 2.1481,                0.00102,                0.03444,                0.00067,                0.00014,                 3.7021,                 3.8226,                 3.1018,             0.00098416,             0.00098416,             0.00098416
                     26,                 1.7891,                 3.2617,                 2.1541,                0.00056,                0.01715,                0.00032,                 0.0001,                 3.3805,                 4.1334,                 2.9855,              0.0009835,              0.0009835,              0.0009835
                     27,                  1.738,                 3.2224,                 2.1304,                0.00014,                0.00427,                  7e-05,                  2e-05,                   3.86,                 4.3114,                 3.2673,             0.00098284,             0.00098284,             0.00098284
                     28,                 1.7598,                 3.2385,                 2.1416,                0.00029,                0.00772,                0.00016,                  5e-05,                 3.7542,                  4.538,                 3.1936,             0.00098218,             0.00098218,             0.00098218
                     29,                  1.692,                 3.2135,                 2.1014,                0.00122,                0.04538,                0.00071,                0.00017,                 3.6376,                 4.0027,                 3.1186,             0.00098152,             0.00098152,             0.00098152
                     30,                 1.7799,                  3.245,                  2.131,                0.00056,                 0.0158,                 0.0003,                  9e-05,                 3.5597,                 4.0812,                 3.1065,             0.00098086,             0.00098086,             0.00098086
                     31,                 1.7514,                 3.2229,                 2.1317,                 0.0014,                0.03334,                0.00084,                0.00029,                 3.9226,                 4.5228,                 3.3138,              0.0009802,              0.0009802,              0.0009802
                     32,                  1.787,                 3.5004,                 2.1064,                0.00014,                0.00657,                  8e-05,                  2e-05,                 3.0916,                 4.0869,                  2.727,             0.00097954,             0.00097954,             0.00097954
                     33,                 1.7147,                 3.2094,                 2.0947,                0.00058,                0.01857,                0.00032,                0.00013,                 3.7433,                 4.0339,                 3.1946,             0.00097888,             0.00097888,             0.00097888
                     34,                 1.7577,                 3.2391,                 2.1115,                0.00056,                0.01843,                0.00031,                0.00011,                 3.7918,                 5.3185,                  2.984,             0.00097822,             0.00097822,             0.00097822
                     35,                 1.7734,                 3.2763,                 2.1186,                0.00222,                0.07096,                 0.0015,                0.00046,                 3.4937,                 4.0298,                 3.0436,             0.00097756,             0.00097756,             0.00097756
                     36,                 1.6964,                 3.2223,                 2.0678,                0.00014,                0.00341,                  7e-05,                  1e-05,                 3.1609,                 3.9394,                  2.774,              0.0009769,              0.0009769,              0.0009769
                     37,                 1.6853,                 3.2084,                  2.066,                0.00162,                 0.0483,                0.00094,                0.00028,                 3.4966,                 3.9308,                 2.8939,             0.00097624,             0.00097624,             0.00097624
                     38,                 1.6912,                 3.2083,                 2.0623,                 0.0018,                0.05114,                 0.0011,                0.00029,                 3.5507,                 3.9022,                 3.0611,             0.00097558,             0.00097558,             0.00097558
                     39,                 1.7007,                 3.2111,                 2.0815,                0.00175,                0.05322,                0.00103,                0.00031,                  3.632,                 3.9096,                 3.0489,             0.00097492,             0.00097492,             0.00097492
                     40,                 1.6708,                 3.2003,                 2.0524,                 0.0028,                0.10201,                0.00191,                0.00052,                 3.3827,                 3.7075,                  2.869,             0.00097426,             0.00097426,             0.00097426
                     41,                 1.7093,                 3.2547,                 2.0669,                0.00106,                 0.0219,                0.00059,                0.00016,                 3.8962,                 4.2071,                 3.2342,              0.0009736,              0.0009736,              0.0009736
                     42,                 1.7397,                 3.2369,                 2.0763,                0.00199,                0.05097,                0.00116,                0.00033,                 3.5531,                 3.6853,                 2.9304,             0.00097294,             0.00097294,             0.00097294
                     43,                 1.6728,                 3.1904,                 2.0444,                0.00177,                0.05813,                0.00123,                0.00041,                 3.5651,                 3.8203,                 3.0613,             0.00097228,             0.00097228,             0.00097228
                     44,                 1.6777,                 3.1989,                 2.0482,                0.00237,                0.10309,                0.00208,                0.00064,                 3.4044,                  3.682,                 2.9322,             0.00097162,             0.00097162,             0.00097162
                     45,                  1.635,                  3.198,                 2.0221,                0.00161,                0.06339,                0.00117,                0.00031,                 3.8375,                 3.7676,                 3.2295,             0.00097096,             0.00097096,             0.00097096
                     46,                  1.733,                 3.2505,                 2.0718,                0.00285,                0.11048,                 0.0021,                0.00071,                 3.2071,                 3.6352,                 2.8253,              0.0009703,              0.0009703,              0.0009703
                     47,                 1.6963,                 3.2125,                 2.0603,                0.00235,                0.09024,                0.00181,                0.00052,                 3.7047,                 3.7333,                 3.1596,             0.00096964,             0.00096964,             0.00096964
                     48,                 1.6413,                 3.1852,                 2.0185,                0.00173,                0.06409,                0.00114,                0.00031,                 3.4143,                 3.7973,                 2.8978,             0.00096898,             0.00096898,             0.00096898
                     49,                 1.6586,                 3.2081,                 2.0164,                0.00178,                0.03117,                0.00097,                0.00022,                 4.0493,                 4.1951,                 3.2989,             0.00096832,             0.00096832,             0.00096832
                     50,                 1.6526,                 3.1815,                 2.0306,                0.00418,                0.10386,                0.00431,                0.00133,                 3.5348,                 3.9512,                  3.033,             0.00096766,             0.00096766,             0.00096766
