                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0719,                 4.9334,                 4.2467,                      0,                      0,                      0,                      0,                 5.2265,                 4.9708,                 4.1908,              0.0032593,              0.0032593,              0.0032593
                      2,                 3.2637,                 4.3539,                 3.4657,                      0,                      0,                      0,                      0,                 5.3769,                 5.0666,                  4.396,              0.0065882,              0.0065882,              0.0065882
                      3,                 2.8522,                 3.5953,                  2.925,                 0.4038,                0.06077,                0.03062,                0.01491,                 2.3721,                  4.031,                 2.5043,              0.0099128,              0.0099128,              0.0099128
                      4,                 2.5722,                 3.0897,                 2.5873,                0.03202,                0.13368,                 0.0428,                0.01794,                 2.5788,                 3.4169,                 2.4524,              0.0099802,              0.0099802,              0.0099802
                      5,                  2.274,                 2.7351,                 2.3171,                 0.5282,                0.23926,                0.17169,                0.07954,                 1.6327,                 2.6984,                 1.7966,              0.0099736,              0.0099736,              0.0099736
                      6,                 1.9748,                 2.4038,                   2.06,                0.20688,                0.30542,                0.14181,                0.06649,                 1.7328,                 2.8869,                 1.7972,               0.009967,               0.009967,               0.009967
                      7,                 1.8557,                 2.2043,                  1.976,                0.31719,                0.58584,                0.46061,                0.29036,                 1.2376,                 1.8293,                 1.4268,              0.0099604,              0.0099604,              0.0099604
                      8,                 1.7081,                 1.9917,                 1.8465,                0.26129,                0.54025,                0.43835,                0.29214,                 1.0324,                 2.1386,                  1.283,              0.0099538,              0.0099538,              0.0099538
                      9,                 1.6578,                  1.918,                 1.7939,                0.36009,                0.71888,                0.48391,                0.31185,                 1.1498,                 1.8319,                 1.3366,              0.0099472,              0.0099472,              0.0099472
                     10,                 1.5698,                 1.7798,                 1.7174,                0.59262,                0.73943,                0.75744,                0.52952,                 1.0799,                  1.431,                 1.3114,              0.0099406,              0.0099406,              0.0099406
                     11,                 1.5224,                 1.6597,                 1.6837,                0.39266,                0.71849,                0.53204,                0.39391,                0.94198,                  1.813,                 1.2058,               0.009934,               0.009934,               0.009934
                     12,                 1.4901,                 1.5703,                 1.6468,                0.54003,                0.47891,                0.43982,                 0.3041,                   1.22,                  2.198,                 1.4424,              0.0099274,              0.0099274,              0.0099274
                     13,                  1.421,                 1.4841,                 1.5895,                0.75135,                0.69422,                0.79462,                0.54954,                 1.0116,                   1.51,                 1.2541,              0.0099208,              0.0099208,              0.0099208
                     14,                 1.4231,                 1.3392,                  1.574,                0.63329,                0.72409,                0.78973,                 0.5745,                 1.0043,                 1.4326,                 1.2455,              0.0099142,              0.0099142,              0.0099142
                     15,                 1.3852,                 1.3263,                 1.5532,                0.64101,                0.67248,                0.77486,                0.51912,                 1.1402,                 1.5529,                 1.3098,              0.0099076,              0.0099076,              0.0099076
                     16,                 1.3874,                 1.2481,                 1.5716,                0.67632,                0.67668,                0.80473,                0.58195,                 1.0067,                 1.3313,                 1.2584,               0.009901,               0.009901,               0.009901
                     17,                 1.3486,                 1.1767,                 1.5162,                0.73449,                0.76203,                0.79666,                0.60322,                0.87093,                 1.2027,                 1.1565,              0.0098944,              0.0098944,              0.0098944
                     18,                 1.3544,                 1.1425,                 1.5054,                0.69663,                0.82459,                0.83105,                0.61704,                0.86957,                 1.1415,                 1.1483,              0.0098878,              0.0098878,              0.0098878
                     19,                 1.2893,                 1.0979,                  1.454,                0.94562,                0.94698,                0.97566,                0.67771,                 1.1295,                0.74531,                 1.2757,              0.0098812,              0.0098812,              0.0098812
                     20,                 1.3042,                 1.1092,                 1.5209,                0.83153,                0.77449,                0.88307,                0.65599,                0.94544,                 1.1005,                 1.2028,              0.0098746,              0.0098746,              0.0098746
                     21,                 1.2833,                 1.1072,                 1.4924,                0.93218,                0.94965,                0.97465,                0.71846,                0.98799,                0.73561,                 1.1986,               0.009868,               0.009868,               0.009868
                     22,                 1.2557,                 1.0634,                 1.4516,                0.67517,                0.65407,                0.73799,                 0.5286,                 1.0536,                 1.4783,                 1.2639,              0.0098614,              0.0098614,              0.0098614
                     23,                 1.2595,                 1.0587,                 1.4674,                0.78504,                0.87397,                0.91819,                0.72338,                0.78535,                0.86932,                 1.0927,              0.0098548,              0.0098548,              0.0098548
                     24,                 1.2179,                0.98463,                  1.406,                0.86696,                 0.8865,                0.96044,                0.74792,                0.84441,                0.76992,                 1.1078,              0.0098482,              0.0098482,              0.0098482
                     25,                 1.2382,                0.97679,                 1.4195,                 0.8797,                0.91203,                0.95903,                0.73217,                0.89706,                0.73573,                 1.1279,              0.0098416,              0.0098416,              0.0098416
                     26,                 1.2339,                0.97498,                 1.4299,                0.89006,                0.91844,                0.96274,                 0.7776,                0.76712,                0.68823,                 1.0596,               0.009835,               0.009835,               0.009835
                     27,                 1.1862,                0.93501,                 1.4122,                0.92353,                0.96205,                0.98038,                0.75895,                0.87681,                0.65677,                 1.1212,              0.0098284,              0.0098284,              0.0098284
                     28,                 1.1867,                0.92053,                 1.3887,                0.96175,                0.95415,                0.98503,                0.78686,                0.77635,                0.57853,                 1.0737,              0.0098218,              0.0098218,              0.0098218
